path	first_code_line	exports_sample
QueryEngine.ts	import { feature } from 'bun:bundle'	QueryEngineConfig, QueryEngine
Task.ts	import { randomBytes } from 'crypto'	TaskType, TaskStatus, isTerminalTaskStatus, TaskHandle, SetAppState, TaskContext, TaskStateBase, LocalShellSpawnInput (+3)
Tool.ts	import type {	ToolInputJSONSchema, QueryChainTracking, ValidationResult, SetToolJSXFn, ToolPermissionContext, getEmptyToolPermissionContext, CompactProgressEvent, ToolUseContext
assistant/sessionHistory.ts	import axios from 'axios'	HISTORY_PAGE_SIZE, HistoryPage, HistoryAuthCtx, createHistoryAuthCtx, fetchLatestEvents, fetchOlderEvents
bootstrap/state.ts	import type { BetaMessageStreamParams } from '@anthropic-ai/sdk/resources/beta/messages/messages.mjs'	ChannelEntry, AttributedCounter
bridge/bridgeApi.ts	import axios from 'axios'	validateBridgeId, BridgeFatalError, createBridgeApiClient
bridge/bridgeConfig.ts	import { getOauthConfig } from '../constants/oauth.js'	getBridgeTokenOverride, getBridgeBaseUrlOverride, getBridgeAccessToken, getBridgeBaseUrl
bridge/bridgeDebug.ts	import { logForDebugging } from '../utils/debug.js'	BridgeDebugHandle, registerBridgeDebugHandle, clearBridgeDebugHandle, getBridgeDebugHandle, injectBridgeFault, wrapApiForFaultInjection
bridge/bridgeEnabled.ts	import { feature } from 'bun:bundle'	isBridgeEnabled, isBridgeEnabledBlocking, getBridgeDisabledReason, isEnvLessBridgeEnabled, isCseShimEnabled, checkBridgeMinVersion, getCcrAutoConnectDefault
bridge/bridgeMain.ts	import { feature } from 'bun:bundle'	BackoffConfig, runBridgeLoop
bridge/bridgeMessaging.ts	import { randomUUID } from 'crypto'	isSDKMessage, isSDKControlResponse, isSDKControlRequest, isEligibleBridgeMessage, extractTitleText, handleIngressMessage, ServerControlRequestHandlers
bridge/bridgePermissionCallbacks.ts	import type { PermissionUpdate } from '../utils/permissions/PermissionUpdateSchema.js'	isBridgePermissionResponse
bridge/bridgePointer.ts	import { mkdir, readFile, stat, unlink, writeFile } from 'fs/promises'	BRIDGE_POINTER_TTL_MS, BridgePointer, getBridgePointerPath, writeBridgePointer, readBridgePointer, readBridgePointerAcrossWorktrees, clearBridgePointer
bridge/bridgeStatusUtil.ts	import {	StatusState, TOOL_DISPLAY_EXPIRY_MS, SHIMMER_INTERVAL_MS, timestamp, formatDuration, truncateToWidth, abbreviateActivity, buildBridgeConnectUrl (+9)
bridge/bridgeUI.ts	import chalk from 'chalk'	createBridgeLogger
bridge/capacityWake.ts	export type CapacitySignal = { signal: AbortSignal; cleanup: () => void }	CapacitySignal, CapacityWake, createCapacityWake
bridge/codeSessionApi.ts	import axios from 'axios'	createCodeSession, RemoteCredentials, fetchRemoteCredentials
bridge/createSession.ts	import type { SDKMessage } from '../entrypoints/agentSdkTypes.js'	createBridgeSession, getBridgeSession
bridge/debugUtils.ts	import {	redactSecrets, debugTruncate, debugBody, describeAxiosError, extractHttpStatus, extractErrorDetail, logBridgeSkip
bridge/envLessBridgeConfig.ts	import { z } from 'zod/v4'	EnvLessBridgeConfig, DEFAULT_ENV_LESS_BRIDGE_CONFIG, getEnvLessBridgeConfig, checkEnvLessBridgeMinVersion, shouldShowAppUpgradeMessage
bridge/flushGate.ts	export class FlushGate<T> {	FlushGate
bridge/inboundAttachments.ts	import type { ContentBlockParam } from '@anthropic-ai/sdk/resources/messages.mjs'	InboundAttachment, extractInboundAttachments, resolveInboundAttachments, prependPathRefs, resolveAndPrepend
bridge/inboundMessages.ts	import type {	extractInboundMessageFields, normalizeImageBlocks
